Region,Soil Type,Crop Type,Rainfall_mm,Temperature(c),Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare,Humidity,Moisture,Nitrogen,Potassium,Phosphorous,Fertilizer Name
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,71.23,31.58,23,0,15,20-20
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,60.18,26.58,34,2,0,DAP
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,64.59,62.12,14,1,34,20-20
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,67.23,46.01,13,2,10,DAP
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,50.92,46.77,22,1,15,10-26-26
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,68.54,31.22,13,0,40,Urea
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,52.69,27.55,18,0,36,DAP
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,44.94,44.87,37,1,0,28-28
West,Sandy,Cotton,897.0772391101236,27.0,False,True,Cloudy,122,6.555816258223593,53.74,47.89,8,0,12,DAP
North,Sandy,Barley,475.78193494832936,22.0,False,False,Rainy,94,3.607496381,51.15,40.5,38,0,0,Urea
North,Sandy,Cotton,802.6352974,35.0,True,False,Sunny,82,6.654949453589528,67.7,66.68,13,0,13,DAP
North,Sandy,Cotton,802.6352974,35.0,True,False,Sunny,82,6.654949453589528,70.42,24.42,19,2,24,28-28
North,Sandy,Cotton,802.6352974,35.0,True,False,Sunny,82,6.654949453589528,63.37,43.28,8,12,27,17-17-17
West,Sandy,Maize,224.06871158323943,38.0,False,True,Rainy,132,2.4907765498564074,68.47,56.4,6,12,23,DAP
North,Sandy,Wheat,435.2542292911728,25.0,False,True,Sunny,74,3.190074146074221,55.37,65.56,9,4,12,28-28
North,Sandy,Wheat,435.2542292911728,25.0,False,True,Sunny,74,3.190074146074221,61.44,49.36,43,0,3,DAP
North,Sandy,Wheat,435.2542292911728,25.0,False,True,Sunny,74,3.190074146074221,64.48,52.92,16,0,8,14-35-14
North,Sandy,Wheat,435.2542292911728,25.0,False,True,Sunny,74,3.190074146074221,54.12,31.81,38,4,0,28-28
North,Sandy,Wheat,435.2542292911728,25.0,False,True,Sunny,74,3.190074146074221,48.3,60.18,13,2,11,28-28
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,64.0,51.0,5,9,29,14-35-14
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,69.66,51.62,36,0,4,Urea
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,50.38,53.63,8,6,37,17-17-17
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,65.19,50.69,26,1,16,DAP
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,55.73,60.55,10,15,18,Urea
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,68.09,43.83,10,20,20,DAP
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,61.58,56.87,24,0,23,14-35-14
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,56.59,20.08,15,0,35,14-35-14
West,Sandy,Maize,874.9747777488744,33.0,True,True,Sunny,132,7.657631965351055,56.31,25.41,18,0,23,20-20
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,52.0,38.0,37,0,0,Urea
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,52.0,44.0,23,0,20,28-28
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,55.37,59.34,11,1,12,20-20
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,65.69,55.2,7,7,32,10-26-26
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,51.89,45.51,28,4,21,14-35-14
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,52.53,60.62,9,9,33,DAP
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,53.65,56.71,36,3,0,14-35-14
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,65.45,48.14,16,11,14,20-20
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,63.11,41.43,36,0,1,10-26-26
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,48.06,41.76,37,0,0,14-35-14
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,65.58,44.9,27,0,20,Urea
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,63.95,63.21,10,3,31,DAP
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,46.63,42.08,8,17,19,17-17-17
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,50.62,55.85,10,6,27,DAP
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,52.55,41.35,7,0,46,17-17-17
North,Sandy,Maize,432.40275278919336,26.0,True,False,Cloudy,78,3.631689270841691,57.83,37.34,38,0,0,14-35-14
North,Sandy,Maize,607.0083551,35.0,False,False,Rainy,73,3.626501341861153,66.92,66.68,15,7,12,10-26-26
North,Sandy,Maize,607.0083551,35.0,False,False,Rainy,73,3.626501341861153,52.2,41.09,36,0,2,10-26-26
North,Sandy,Maize,607.0083551,35.0,False,False,Rainy,73,3.626501341861153,60.71,43.64,14,3,32,DAP
North,Sandy,Maize,607.0083551,35.0,False,False,Rainy,73,3.626501341861153,61.64,45.77,37,0,2,28-28
North,Sandy,Maize,607.0083551,35.0,False,False,Rainy,73,3.626501341861153,54.52,33.97,10,1,5,14-35-14
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,52.62,22.27,8,1,43,17-17-17
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,63.42,24.65,13,1,42,17-17-17
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,57.87,57.72,36,0,2,14-35-14
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,59.25,36.27,36,0,0,10-26-26
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,53.99,20.0,12,14,12,17-17-17
West,Sandy,Cotton,937.3220437,26.0,True,True,Cloudy,67,7.662372089805093,61.18,44.59,37,0,3,14-35-14
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,47.11,60.88,34,0,0,14-35-14
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,46.97,52.66,8,1,11,14-35-14
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,52.37,25.81,5,10,33,DAP
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,48.77,42.61,20,0,27,28-28
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,57.9,28.78,32,0,2,14-35-14
South,Sandy,Maize,858.4998401,23.0,False,False,Sunny,136,3.953928978100549,55.69,59.61,9,2,18,10-26-26
South,Sandy,Barley,838.8717355218207,21.0,True,False,Rainy,109,5.617218386008211,44.09,59.39,10,17,19,Urea
South,Sandy,Barley,838.8717355218207,21.0,True,False,Rainy,109,5.617218386008211,48.29,57.03,34,2,0,10-26-26
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,64.0,51.0,5,9,29,14-35-14
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,69.66,51.62,36,0,4,Urea
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,50.38,53.63,8,6,37,17-17-17
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,65.19,50.69,26,1,16,DAP
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,55.73,60.55,10,15,18,Urea
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,68.09,43.83,10,20,20,DAP
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,61.58,56.87,24,0,23,14-35-14
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,56.59,20.08,15,0,35,14-35-14
East,Sandy,Maize,321.3157765522731,33.0,False,False,Sunny,126,2.180200453,56.31,25.41,18,0,23,20-20
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,61.97,48.6,43,4,2,DAP
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,56.94,56.53,5,0,14,14-35-14
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,64.57,44.12,6,5,27,10-26-26
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,60.33,37.69,9,4,16,14-35-14
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,66.68,29.78,10,0,41,Urea
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,58.32,22.54,12,6,32,DAP
West,Sandy,Cotton,230.32485951923056,38.0,True,True,Rainy,76,4.233171914,60.03,32.44,38,3,0,28-28
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,64.55,46.56,23,1,20,10-26-26
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,60.62,45.99,23,0,25,28-28
East,Sandy,Barley,487.4796251,29.0,True,False,Sunny,144,3.034154764080529,65.34,35.1,5,0,9,14-35-14
